DATE,STICKCPIM157SFRBATL
2015-04-01,0.26795
2015-05-01,0.1887
2015-06-01,0.21136
2015-07-01,0.17893
2015-08-01,0.14264
2015-09-01,0.26715
2015-10-01,0.25144
2015-11-01,0.21261
2015-12-01,0.14923
2016-01-01,0.20473
2016-02-01,0.20991
2016-03-01,0.20553
2016-04-01,0.27443
2016-05-01,0.21519
2016-06-01,0.20992
2016-07-01,0.19786
2016-08-01,0.27182
2016-09-01,0.15975
2016-10-01,0.13482
2016-11-01,0.22051
2016-12-01,0.21492
2017-01-01,0.26506
2017-02-01,0.22227
2017-03-01,0.00188
2017-04-01,0.09617
2017-05-01,0.12281
2017-06-01,0.18274
2017-07-01,0.20494
2017-08-01,0.23016
2017-09-01,0.18649
2017-10-01,0.20927
2017-11-01,0.16212
2017-12-01,0.23647
2018-01-01,0.29694
2018-02-01,0.19752
2018-03-01,0.21342
2018-04-01,0.20826
2018-05-01,0.18171
2018-06-01,0.20604
2018-07-01,0.169
2018-08-01,0.14136
2018-09-01,0.21055
2018-10-01,0.16571
2018-11-01,0.22533
2018-12-01,0.23279
2019-01-01,0.22431
2019-02-01,0.20728
2019-03-01,0.19922
2019-04-01,0.24192
2019-05-01,0.14885
2019-06-01,0.24308
2019-07-01,0.25586
2019-08-01,0.28087
2019-09-01,0.19912
2019-10-01,0.28013
2019-11-01,0.23006
2019-12-01,0.20621
2020-01-01,0.26417
2020-02-01,0.20664
2020-03-01,0.03321
2020-04-01,-0.14379
2020-05-01,0.02068
2020-06-01,0.24023
2020-07-01,0.5245
2020-08-01,0.22866
2020-09-01,0.01953
2020-10-01,0.08782
2020-11-01,0.19179
2020-12-01,0.12485
2021-01-01,0.07945
2021-02-01,0.19057
2021-03-01,0.19589
2021-04-01,0.41537
2021-05-01,0.34273
2021-06-01,0.25766
2021-07-01,0.35198
2021-08-01,0.25056
2021-09-01,0.26699
2021-10-01,0.47747
2021-11-01,0.38369
2021-12-01,0.38737
2022-01-01,0.55458
2022-02-01,0.50893
2022-03-01,0.43228
2022-04-01,0.58779
2022-05-01,0.57207
2022-06-01,0.65762
2022-07-01,0.51157
2022-08-01,0.59382
2022-09-01,0.63393
2022-10-01,0.46193
2022-11-01,0.47494
2022-12-01,0.47011
2023-01-01,0.50761
2023-02-01,0.54472
2023-03-01,0.33545
2023-04-01,0.46454
2023-05-01,0.30279
2023-06-01,0.27447
2023-07-01,0.3126
2023-08-01,0.34753
2023-09-01,0.4138
2023-10-01,0.34668
2023-11-01,0.28853
2023-12-01,0.34481
2024-01-01,0.538316322
2024-02-01,0.33093947
2024-03-01,0.405833451
2024-04-01,0.373010989
