macro_CPI,macro_rate,macro_fund,macro_GDP,ret_USD_index,ret_VIX,ret_bond_yield_10y,ret_CRB_index,ret_GDM,ret_Gold,run_id,impulse_var,step,model_period,ret_MVG,ret_SPT,ret_GDX,ret_HUI,ret_FTGM,ret_XAU
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,run_01,ret_Gold,0,191_obs_10_vars,,,,,,
-0.007672194413301026,-0.010616239223755167,-0.1893816641104654,0.09451316129103421,0.5515813529083444,-0.03556287706207458,0.15583248168440417,-0.3123250265090711,0.0762156599868271,-0.41168759061582466,run_01,ret_Gold,1,191_obs_10_vars,,,,,,
0.07780918409515444,0.014167999937724158,0.015854358949536046,-2.2090971388306326,0.021129026937116907,0.004920241508823701,0.05394432264149099,0.05388192275515116,0.15597365640891553,-0.2269833364229765,run_01,ret_Gold,2,191_obs_10_vars,,,,,,
-0.021500769348983675,0.001776132122733757,0.06703592235251575,-0.8310954196388209,0.06765166769863681,-0.0030709871904897527,-0.0322932555192479,0.04880263771895124,-0.004792274998469764,0.060681638507934954,run_01,ret_Gold,3,191_obs_10_vars,,,,,,
-0.02780398526458362,-0.007582292473144786,-0.02435690634525528,-0.36407865693728686,0.036145714211107315,0.006163439469040723,-0.006778150144105332,0.05954439909839276,-0.022985411209435494,0.020945334598530162,run_01,ret_Gold,4,191_obs_10_vars,,,,,,
0.01387906017949985,0.00032169659897748285,0.003952937783237635,0.03657255639142076,0.027229595305504423,-0.007620602187421239,0.003034647945957145,0.05580612734555413,-0.02050649570645601,0.0430908240855295,run_01,ret_Gold,5,191_obs_10_vars,,,,,,
-0.0011680887636500437,0.0017103658554023173,0.003928059907141929,0.3337930918948846,-0.009332275568137188,-0.0063954748871067595,0.005751535302118967,0.02476781966196807,-0.0042652177900529,0.01023685125203593,run_01,ret_Gold,6,191_obs_10_vars,,,,,,
-0.0009590092328611343,0.0014668256966364126,0.009551907333620002,0.02950913161423893,-0.011778648621416329,-0.0008142140393062728,-0.0016929983138568232,0.007650031035564421,-0.004340790065833022,0.009662284055511115,run_01,ret_Gold,7,191_obs_10_vars,,,,,,
0.0010312311215877861,-0.0002595787421479739,0.0066007880485655,-0.012945131812588374,-0.011719941916985343,0.0013707296030592627,-0.0006120619669095222,-0.0024551619512095434,0.0008538031009481385,-0.0020736870513436852,run_01,ret_Gold,8,191_obs_10_vars,,,,,,
-0.00027160239318430973,-0.00022703376242212735,-0.0019146855893873594,0.007339090227940081,-0.002014482972171907,0.0005672297655607583,-0.0004425471275863902,-0.0036336131232596186,-0.0003728720974783233,-0.00023939699730283071,run_01,ret_Gold,9,191_obs_10_vars,,,,,,
-0.00047557220161305314,-0.00010499371253253383,-0.0015327143231899263,0.006619495332787552,-0.001187064460129119,-1.8387909042193515e-05,0.0006495224172488079,-0.0009569922399863754,-4.088905270841251e-05,-3.6362926770095415e-05,run_01,ret_Gold,10,191_obs_10_vars,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,run_03,ret_Gold,0,191_obs_10_vars,0.0,,,,,
0.0026535123203341726,-0.009291706358647768,-0.19357678308828646,0.008277116206331356,0.5476351030246555,-0.03440650141131044,0.16175948681251318,-0.32096909969645376,,-0.41512934416435987,run_03,ret_Gold,1,191_obs_10_vars,0.07354033075548287,,,,,
0.06897182098279811,0.01396626123374931,0.024256733716048487,-2.087941109435611,0.015805808272369215,0.01023245610240358,0.04905726253973987,0.060793283625270964,,-0.07311880268078585,run_03,ret_Gold,2,191_obs_10_vars,0.058436160061788034,,,,,
-0.024845839474719897,0.0009974309860878703,0.050289151346463355,-0.7477732073831344,0.09100828180096134,-0.0047358243469109605,-0.0355036747455703,0.06379474852895348,,-0.00874573069321545,run_03,ret_Gold,3,191_obs_10_vars,0.026270734648699154,,,,,
