index,bp_pvalue,white_pvalue,dw_stat,lb_pvalue,arch_pvalue,heteroskedasticity,autocorrelation,arch_effect
GDX,4.987975352532845e-19,9.087526186717841e-98,2.253450156760276,0.0,1.9500756895182638e-05,Да,Нет,Да
HUI,1.775801106079579e-16,4.543655263376777e-75,2.152552008407004,0.0,0.00047721761606272947,Да,Нет,Да
XGD,7.60394517263099e-12,1.8519825956704418e-89,2.229275534787115,0.0,0.00024945456585478536,Да,Нет,Да
FTSE_Gold,3.6407646468119337e-07,1.554653373208434e-126,1.9737527399964738,0.0,0.00012799676653252762,Да,Нет,Да
XAU_Index,4.067193225258383e-16,1.0366054467378391e-126,2.2302792133908604,0.0,3.076038499887987e-05,Да,Нет,Да
MVG,7.670682226415063e-10,3.086543001586661e-44,1.9210941572199842,0.0,0.0030303036364321555,Да,Нет,Да
