index,gold_beta,n_obs,r_squared,adj_r_squared,f_stat,f_pvalue,gold_tstat,gold_pvalue,gold_se_robust,USD_Return_beta,USD_Return_pvalue,Brent_Return_beta,Brent_Return_pvalue,SP500_Return_beta,SP500_Return_pvalue
GDX,1.6970765021699128,4739,0.6332549232457805,0.632945041474125,712.7477014420792,0.0,42.44127408673199,0.0,0.03998646456046082,-0.35682147630119526,0.00016447386510903567,0.04626328403442634,0.008850368231244592,0.44143331122654766,4.4099154498231166e-14
HUI,1.7273018986206066,3913,0.6001006873729542,0.5996913738492827,664.8694710566049,0.0,41.378350246453685,0.0,0.04174409777897427,-0.3732691715354575,3.617395331183312e-05,0.05164065925622254,0.0014944339081506119,0.36654426095632614,8.582320289585959e-11
XGD,1.619824466676576,4724,0.5713412670655413,0.5709779199725686,574.0879703333554,0.0,39.95964715429138,0.0,0.04053650575096778,0.14126337702622696,0.10490348476054255,-0.007317766167156927,0.6147200868276337,0.2712651024455484,1.0835630685519854e-07
FTSE_Gold,1.3823741403157577,4868,0.6088938402921487,0.6085721407982496,716.5237996652992,0.0,38.491756093917004,0.0,0.035913511894413656,-0.4321331054510804,2.136494705321144e-09,0.050140413394392264,3.7926296364681794e-05,0.29824405098082973,2.9570951372383994e-20
XAU_Index,1.5840453446320457,4737,0.6331986397926204,0.6328885794712278,786.2554875310035,0.0,40.00180394387477,0.0,0.039599347740781096,-0.34975369999122385,1.4502751340492636e-05,0.06049850899047147,2.6202718385253774e-05,0.5655480031264554,5.111531618884215e-37
MVG,1.7405265805914225,3002,0.5991301612076578,0.5985951330611214,600.3452765043149,0.0,37.74236320689579,0.0,0.046115993613071275,-0.4799852701901766,1.887794074333047e-06,0.07418309877423265,2.636425856608211e-06,0.35999561035088995,6.714115123994492e-10
