Date,Gold,GDX,HUI,XGD,FTSE_Gold,XAU_Index,MVG,Brent,WTI,USD_Index,VIX,SP500,MSCI_ACWI,CAD_USD,Gold_Return,GDX_Return,HUI_Return,XGD_Return,FTSE_Gold_Return,XAU_Index_Return,MVG_Return,Brent_Return,WTI_Return,USD_Index_Return,VIX_Return,SP500_Return,MSCI_ACWI_Return,CAD_USD_Return,Gold_MA20,Gold_MA50,Gold_Volatility,Gold_RSI,Gold_GDX_Ratio
2014-05-16,1293.7,23.42,217.01,11.04,1455.46,88.86,798.98,109.75,102.02,80.04,12.44,1877.9,1056.05,0.921,-0.0020462932566543066,-0.008503452599644886,-0.010086739043254436,-0.011706572232160154,-0.008973945669604126,-0.00918568125614209,-0.006723448160980343,-0.0062673351066729445,0.005110074012938458,0.0004998750416512148,-0.05702442844415627,0.0037879843624295654,0.0007104459531066227,0.0026092643636138452,1294.7265,1308.99,0.00653121324524704,48.6984815618222,55.23911187019641
2014-05-21,1291.85,23.45,217.22,11.12,1452.69,88.7,796.03,110.55,104.07,80.09,11.91,1888.0,1057.57,0.9164,-0.0018560772506899508,0.0025619142962006645,0.0008289965012137662,0.0036036075032983964,0.0024812369283411287,0.0002255045674231051,0.003838872940559616,0.00780970188021246,0.015786488318443575,0.0006244926200582842,-0.08448930755691998,0.008083430528745075,0.004587033584309323,-0.00032731438838939637,1295.7514999999999,1305.4273999999998,0.006416741577374178,54.511584584934226,55.089552238805965
2014-05-22,1293.85,23.39,217.07,11.11,1453.67,88.77,801.68,110.36,103.74,80.25,12.03,1892.5,1062.4,0.9182,0.0015469701812683998,-0.002561914296200645,-0.0006907826842190837,-0.0008996851708976849,0.0006743831026723907,0.0007888657646940108,0.007072652173670908,-0.001720157954369981,-0.0031759807265138652,0.0019957596745342012,0.010025146619378646,0.0023806386061578514,0.0045566761390250414,0.00196228123578125,1295.7514999999999,1303.8924,0.0061857972416718985,45.48625645318819,55.31637451902522
2014-05-23,1293.11,23.31,216.13,11.03,1446.95,88.22,795.61,110.54,104.35,80.39,11.36,1900.5,1066.16,0.9207,-0.0005721000867298657,-0.003426127548421976,-0.004339803671843823,-0.007226770386127551,-0.004633500439780824,-0.006215060403434285,-0.00760040971903092,0.0016296970560315447,0.0058628645999555425,0.0017430283297441625,-0.05730511669358227,0.004218303117699607,0.003532908549302051,0.002719018478678529,1295.2345,1302.1098,0.005936182003403095,36.68893129770989,55.474474474474476
2015-04-24,1179.38,19.36,173.79,10.11,1219.16,69.95,566.29,65.28,57.15,96.92,12.29,2117.7,1126.48,0.8211,-0.012320138305068121,-0.021462244346135216,-0.01654911085191625,-0.011799546931155168,-0.0039048958991791134,-0.009674282309340596,-0.01667143068969255,0.006608799893398804,-0.010270783993969423,-0.003707522269531888,-0.015341439363338212,0.0022691826500616324,0.0040294837992443915,-0.0029186449029518814,1198.6545,1192.9209999999998,0.008188146694879364,35.046570702794284,60.91838842975207
2015-07-31,1095.65,13.75,111.73,7.67,859.35,47.57,448.66,52.21,47.12,97.34,12.12,2103.8,1089.03,0.7641,0.0060971332870692115,0.02131649989599848,0.030072672727054408,0.026421616234438988,0.02251252721449736,0.019743768401953094,0.015272272762277167,-0.02084988341220869,-0.02927854473251828,-0.002257568942411258,-0.0008247423147904947,-0.0022789868376754253,0.004168340495952784,-0.007042282625412811,1125.1415,1159.598,0.008864782902672974,20.514518112172567,79.68363636363637
2015-08-05,1085.05,13.09,104.85,7.38,819.97,44.51,428.33,49.59,45.15,97.96,12.51,2099.8,1086.18,0.7587,-0.002209437032287617,-0.015163292803345399,-0.023191084591107206,-0.014795158916747049,-0.01236274487196322,-0.025727744169144747,-0.025698283302917804,-0.008033784924436505,-0.012982908731640756,0.0003062943512637701,-0.038421032982716964,0.0031003339803664597,0.0016954466586467174,0.0009230567016575832,1113.8925,1153.1256,0.008562909649626806,21.484152590624433,82.89152024446142
2015-08-06,1089.41,13.37,107.44,7.53,833.1,45.86,438.74,49.52,44.66,97.83,13.77,2083.6,1079.72,0.7629,0.004010196410149803,0.021164811192043116,0.024401794867053156,0.020121403199421028,0.01588592875767914,0.029879394401995423,0.024013055967778942,-0.0014125721247018222,-0.01091203345098265,-0.0013279536146294756,0.09596398826174374,-0.007744935209804539,-0.0059652053703929935,0.005520518752154544,1110.3805,1151.1448,0.008662987911249125,27.35839497416167,81.48167539267017
2015-08-07,1094.2,13.4,107.38,7.56,840.33,45.7,435.8,48.61,43.87,97.56,13.39,2077.6,1076.63,0.7617,0.0043872373574935656,0.002241315843013917,-0.0005586072205587698,0.003976148379639417,0.008640988851190473,-0.0034949795295992746,-0.006723559987021994,-0.018547357318976658,-0.017847531233889182,-0.0027637051216178555,-0.027984153037482265,-0.002883785522497744,-0.002865956004385563,-0.0015741837174411718,1106.8925,1149.2188,0.00869239103616514,47.92703150912107,81.65671641791045
2015-08-10,1104.51,14.29,114.94,7.97,876.4,49.24,457.31,50.41,44.96,97.16,12.23,2104.2,1087.85,0.7692,0.009378295059989886,0.0643052849849103,0.06803630808517203,0.052813302610682,0.04202793588925753,0.07460800341609378,0.04817807539745272,0.03636029703717537,0.02454249040731303,-0.0041084692137478415,-0.0906162100040002,0.012721966025648596,0.010367479023082417,0.009798236335882237,1104.218,1147.526,0.009108568484745512,52.147409254641104,77.29251224632611
