macro_CPI,macro_rate,macro_fund,macro_GDP,ret_USD_index,ret_VIX,ret_bond_yield_10y,ret_CRB_index,ret_GDM,ret_Gold,run_id,step,response_var,ret_MVG,ret_SPT,ret_GDX,ret_HUI,ret_FTGM,ret_XAU
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,run_02,1,macro_CPI,,,,,,
0.004745912898199797,0.9952540871018003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,run_02,1,macro_rate,,,,,,
0.008404990026300813,0.00663135778860756,0.9849636521850916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,run_02,1,macro_fund,,,,,,
0.056737536639516015,0.005327303606164395,0.04018311380943179,0.8977520459448878,0.0,0.0,0.0,0.0,0.0,0.0,run_02,1,macro_GDP,,,,,,
0.0031632027157128166,0.001555792164722174,0.0009950651557893728,0.020102385748022252,0.9741835542157533,0.0,0.0,0.0,0.0,0.0,run_02,1,ret_USD_index,,,,,,
0.009391585958805283,0.000286418871400929,0.007450343862980332,0.013296785774608338,0.13329101211441152,0.8362838534177937,0.0,0.0,0.0,0.0,run_02,1,ret_VIX,,,,,,
0.014190781428616003,0.004983830731738013,0.0018575184419971184,0.004099156950519056,0.000940697324652754,0.0555989277658098,0.9183290873566673,0.0,0.0,0.0,run_02,1,ret_bond_yield_10y,,,,,,
0.0008538482621045353,0.005126250313793711,4.304973672296253e-05,0.012338848780029084,0.3024228270978861,0.08287080085658727,0.11440851309032943,0.48193586186254694,0.0,0.0,run_02,1,ret_CRB_index,,,,,,
0.00018427981175506202,0.010888318461285103,0.004629616470202206,0.0009442746436549434,0.0016049139092003178,0.010327354480225691,0.006068968032103838,0.009442018678649858,0.955910255512923,0.0,run_02,1,ret_GDM,,,,,,
0.0009150480393215887,0.015517924581799639,0.03106389898562554,0.0011246245691435876,0.014068720889292553,0.0004549398220227758,0.00021505348708436168,0.003929010394181088,0.5795277432653486,0.35318303596618034,run_02,1,ret_Gold,,,,,,
0.8384500899079711,0.0005388987713099698,1.1468826762261958e-05,0.0826095101070631,0.0004613377052558236,0.0005313095499325928,0.010567529007971234,0.05315258336838102,0.00040112385113842463,0.013276148904214542,run_02,2,macro_CPI,,,,,,
0.011663415254128218,0.9025821841475223,0.023191835989648524,0.027371066776350254,0.00024206254347632493,0.0002662285573182647,0.007836203659104946,0.008862110749782678,7.109428578824335e-07,0.01798418137981077,run_02,2,macro_rate,,,,,,
0.0027072980105132065,0.002506233272412085,0.30419667478505974,0.004084068045010346,0.2733668581094045,0.38822126089838643,0.0024505952585758394,0.020154522197888422,0.0012146668983002954,0.001097822524449375,run_02,2,macro_fund,,,,,,
0.10650675201363205,0.003544446342708415,0.026533666013790248,0.8149382304039174,0.0016231253872353987,0.0067462069932814435,0.0279473203227646,0.00751722107565833,0.0026269271143207575,0.0020161043326909892,run_02,2,macro_GDP,,,,,,
0.003113676820925619,0.0043073883349684025,0.004692469680712734,0.026486084422422975,0.9495611413935455,7.398903003374946e-08,0.001927007299902611,0.00037916263570690145,0.0021995668278035068,0.007333428594981669,run_02,2,ret_USD_index,,,,,,
0.008419145182059187,0.00039136832697495716,0.032860451983385455,0.013723771893629777,0.12447780113866587,0.8159316684604461,0.0006582231369168258,0.002113570645477125,0.001239393291914423,0.00018460594053031247,run_02,2,ret_VIX,,,,,,
0.024173158134038777,0.01441398771500046,0.005138064788118802,0.05204732317557557,0.006842025744493546,0.08244049196852972,0.7866027221274781,0.010596906418193948,0.01638335134129604,0.0013619685872750696,run_02,2,ret_bond_yield_10y,,,,,,
0.0008014703113866888,0.01474029666695019,0.00919785155782544,0.01337007481916328,0.2739738713857409,0.12406493944228701,0.10768011519900242,0.43694731913353585,0.001167140289732534,0.018056921194375682,run_02,2,ret_CRB_index,,,,,,
0.00012132372666395671,0.007890350817702473,0.01752519727339326,0.0041289691302507986,0.21044207228191106,0.007288400987501761,0.030612314886459126,0.07315602700572198,0.6414073916302656,0.007427952260130069,run_02,2,ret_GDM,,,,,,
0.0012241626927998169,0.013396807550362188,0.02353888014877646,0.010538697568748893,0.1877637080479976,0.014693041837978522,0.047438165997626104,0.05273842132478528,0.3844530886657957,0.26421502616512943,run_02,2,ret_Gold,,,,,,
0.7118671230388713,0.0004877406382391766,0.004183237387773865,0.17505316660104606,0.005166127216777795,0.02737877774050376,0.02014594458688048,0.0437020750330462,0.00035301782411033337,0.011662789932751005,run_02,3,macro_CPI,,,,,,
0.017924207688379268,0.5518088445419914,0.019345354002332484,0.017842338073347012,0.027821261005831505,0.018658134916939653,0.3282729847110802,0.0066925783607683555,0.0005950842326868477,0.01103921246664351,run_02,3,macro_rate,,,,,,
0.003384512491330942,0.002520692064167603,0.30844189045369624,0.004456770319714344,0.26986935198741696,0.38288662605052165,0.005552241220291536,0.020605307419936388,0.0012006113103701663,0.0010819966825543518,run_02,3,macro_fund,,,,,,
0.08331192655860606,0.003357327573929957,0.02187671417288544,0.686714482027192,0.014708684318227862,0.06019547831428189,0.0492465134560881,0.06563892221642344,0.003977840961309441,0.010972110401055625,run_02,3,macro_GDP,,,,,,
0.0035508688080860946,0.007292494847572529,0.004577614830575676,0.03569108642048158,0.9090691809349905,0.0029893020184935974,0.01882025639171616,0.006346600824169089,0.00421876393879475,0.007443830985119981,run_02,3,ret_USD_index,,,,,,
0.010405791835315028,0.0011039491927681536,0.032595049689027836,0.01370198752791991,0.12661065811240527,0.8030666241271082,0.000648645780041946,0.00253597065563166,0.007561960519051506,0.0017693625607306058,run_02,3,ret_VIX,,,,,,
0.03179339600424314,0.014010306596418462,0.006617860237512373,0.05022299800596173,0.018839525273830367,0.0796310093116714,0.7603476567386795,0.017186210650345635,0.020029808864531005,0.0013212283168063887,run_02,3,ret_bond_yield_10y,,,,,,
0.0007907916473043154,0.014327613031673108,0.009258769200484058,0.014373494491056012,0.28941597589916707,0.12075931283628637,0.10711415723169988,0.42502295236751614,0.0011283104270157734,0.01780862286779717,run_02,3,ret_CRB_index,,,,,,
0.005326040720403872,0.008162736987724217,0.018321919355537564,0.023030272116543474,0.19706638154629388,0.006826393900929041,0.043510837915375106,0.07012145725548363,0.6065074798214701,0.021126480380239135,run_02,3,ret_GDM,,,,,,
0.004831849315581935,0.017711270780197,0.022303464239664027,0.02858851190844184,0.17477841385557236,0.013742597392961737,0.05683454873630389,0.049635012431913796,0.374797688158262,0.25677664318110144,run_02,3,ret_Gold,,,,,,
0.7017103253448247,0.003175458801492364,0.005031372631727315,0.17606885729540103,0.00783197223036868,0.029787875027409913,0.019745804000556068,0.04282074265727353,0.0009283481618817384,0.012899243849064651,run_02,4,macro_CPI,,,,,,
0.0189023647771891,0.517252427025905,0.021673833284890136,0.037845779836659287,0.03291775923803521,0.019425334229270185,0.3110490239872545,0.01034046440440077,0.016289384440604803,0.014303628775791145,run_02,4,macro_rate,,,,,,
0.00516667837994273,0.003803630867847909,0.3056040230347022,0.004624621423271307,0.2673987697769133,0.38040709482852875,0.006540156304345868,0.02049978472980333,0.00463694369072664,0.0013182969639181645,run_02,4,macro_fund,,,,,,
